Reviews,Rating
I'm glad tat i hav purchased its totally worthy .,5
Fast delivery and great performance,5
Amazing fast delivery. Best delivery experience with complete and satisfied device check upon delivery.,5
Nice and beautiful phone,5
Similar as 13 pro,4
The beast,5
Camera RAW quality is outstanding. Superb quality. And the pro motion display is so smooth. Loved it.,5
A Real Pro,5
Working well and timely delivered,5
Good,5
CAMERA IS SUPERB,5
Just Awesome Best phone forever and Good Gaming Experience and Battery life .Specially Camera superb â¤ï¸â¤ï¸â¤ï¸,5
Awesome ğŸ˜ğŸ«ğŸ¥°,5
Just WOW!! Best in all segment!!,5
Awesome iPhone with best camera quality 48 megapixel is ğŸ‘Œ,5
Camera Awesome and overall mobile look is Cool,5
Best â¤ï¸ğŸ”¥ğŸ”¥,5
Superb performance and well.,5
Excellent product awesome camera super fast,5
My first iPhone.. And full satisfied..,5
"Upgraded from XR to 14 pro, amazing phone with advanced features limited to just pro models, stock availability is too low. Got mine by luck!If youre upgrading from iPhone 11 /11 pro  and below you'll love the update",5
Awesome. Just loving it.,5
Mind blowing performance.,4
More than expected! Battery backup has exceptionally increased âš¡ï¸Absolutely over priced but worth itğŸ”¥,5
Worth upgrading from iPhone 11 to iPhone 14 Pro ğŸ˜Š,5
"Best mobile, There is no language to give a review, really amazing iphone 14pro",5
"Earlier I had plan to go with S23+ but buying a iphone is a personal preference, i hve gone through lots of reviews and i came to the conclusion that as a IT person I/we look for smother and faster performance so iphone is significantly better than android. I would rate s23+ 10/10 and even iphone 14 pro 10/10 as the only difference i could see is the os.",5
Fantastic product even though it's just an iterative upgrade to iphone 13 pro. The deep purple looks purple when the light hits the phone a certain way and it's beautiful. Dynamic island is very practical and useful. Hopefully it will get better when 3rd party developers start making use of it.Flipkart's delivery was quick and hassle free. The order was delivered on the launch date and was packed well.,5
Only buy if you want to show off nothing else in this phone,5
Fantastic picture quality,5
Great phone. Feels premium. The display is awesome and camera is best in the segment. Thanks Flipkart for quick delivery.,5
SELLER AND AND PRODUCT BOTH BEST...AND FAST SERVICE..,5
"Just go for it!!The iPhone 14 Pro Max Delivers Unparalleled Excellence - i I got the 512GB ROM variant.Review:I recently upgraded to the iPhone 14 Pro Max, and I must say, this device is a game-changer. From the moment I held it in my hands, I could tell that Apple had once again pushed the boundaries of smartphone technology. With its sleek design, stunning display, and an array of impressive features, the iPhone 14 Pro Max has exceeded my expectations in every way.One of the standout ...",5
"I Phone 14 Pro Max Unstoppable, My Dream Comes True - Thank u I Phone",5
Wowww,5
Nice phone,5
I purchased iphone first time. I loved the camera quality. But I would ask apple to please provide a feature guide. So we know how to utilize iphone fully and feel like it's worth paying lacs of rupees.,5
"I think there is much hype created for the camera and the dynamic island. If I talk about camera, I have gotten better images with iPhone 13 in comparison to iPhone 14 Pro Max. Design and build is damn good for sure. Display is crisp and clear. Feels premium when you hold it. But it is heavy, so could feel a lot of weight in your hands. Sound is great with the onboard speakers. It is loud and clear. However if you want to feel bass do use a headphone or AirPods.",4
Thanks khatu waleğŸ™ Thank you so much MahadevğŸ™. Finally i got my iphone 14 pro maxğŸ˜˜,5
Excellent phone,5
"This device is lit , just upgraded from iPhone 13. The camera is great ! Battery lasts more than a day, loved it. First of all had a little doubt if the phone would be genuine, but i did a thorough check after receiving it. Everything was fine, and its an Indian model for those who are curious about it. I would suggest you to buy the device from flipkart instead of buying it from apple authorised stores, this would save you more than ten thousand . Anyways Great device! Great performance! ...",5
One of the best Smartphone you can buy right now.Let's start with the Pros of the phone:-Dynamic Island is a joy-Always-on screen is gorgeous-Exquisitely premium design-Beautiful 120Hz display-Incredible 48+12+12+12 MP camera system-Blistering performance-Outstanding battery life-Robust iOS 16 softwareNow let's talk a little about the Cons:-One of the heaviest phones you can buy-Expensive,5
Awesome mobile. Proud to be an iphone user. Thanks flipkart for quick delivery. Camera just wow. Battery is awesome,5
Madly in love with the phone performance is blazing fast I love the pro motion display and dynamic island works as advertised I am in love with that feature ğŸ˜ I would like to thank Flipkart for organising the stock for me and delivering my phone on time before the delivery date,5
Superb performance,5
Satisfied product !!,5
Thank,5
Nothing to say ğŸ˜œ Just Awesome ğŸ˜,5
Amazing ğŸ¤© ğŸ‘ŒğŸ‘Œ,5
"This is good but not very good, if you have so much money so you can go with it, I feel very heavy in my hand, camra, battery and performance next level. spend money carefully, thanks Flipkart.",5
Nice and superb camera quality.Feel very premium.Thanks to flipkart for delivery of the same within 2 days.Golden Colour is awesome,5
Awesome product,5
Genuine product,5
Awesome,5
Awesome experience,4
Thank you seller Im so happy with the iPhone 14 pro max got it in deep purple colour ğŸ˜˜Loved the camera and everything about itThis is my first purchase from Flipkart.,5
Just awesome ğŸ˜Š..i bought pro Max 512 gb,5
Awesome quality,5
Great phone,5
Sooo smooth,5
"Finally after long wait I got my 512 GB IPhone 14 Pro Max, Deep Purple Colour. Superb Camera quality. Looks Premium. Upgraded from IPhone XR. Battery backup is nice. Thank you Flipkart for timely delivery.",5
Bought 1TB pro Max .... Op product..... Delivered safely and effectively... Thank you â¤ï¸,5
Awsum Perfect product from apple ğŸ‘ğŸ¼,5
"Superb camera superb built quality, display best in the market. 24hr minimum Battery backup. daily use moderately sometime play games but not often . 2things are awesome the sound , never ever experience this type of sound and last but not the least camera in night mode it is beast . Video ğŸ”¥",5
Awesome camera quality. Just love it.,5
Very nice ğŸ‘Œ Awesome ğŸ‘Œ,5
"King is here, it is really super se upar and flipkart delivery just mind blowing. Delivered early. Mine is pro max 512gb Silver colour.",5
Nothing to say about i phone 14 pro max Just Awesome,5
Excellent iPhone most beautifully crafted and technically mastered for perfection in all tasks !,5
"Finally, I got iPhone 14 Pro Max 512GB ( Deep Purple). Performance, Looks, Feels and Quality are awesome. Image and Video Quality are superb without any doubt. Don't think about it, Just go for it. JUST AWESOME. LOVED IT...",5
